text,label,lang,scam_type,text_normalized,source
Aap k Easypaisa account se 5000 PKR ki deduction hui hai tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,Aap k easypaisa account se 5000 pkr ki deduction hui hai tax ki madd mein.,zenodo_21810885
"Dear Consumer, apka is mahine ka PTCL ka bill 1 Lakh PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,"Dear consumer, apka is mahine ka ptcl ka bill 100000 pkr hai. Due date guzarne se pehle ada karein.",zenodo_21810885
Apka NayaPay ka acount tax jama na krwane ki waja se block ho gaya ha. Abhi pin code dain 0362062776 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka nayapay ka account tax jama na karwane ki waja se block ho gaya hai. Abhi pin code dein 0362062776 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna Allied Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,Mubarak ho! Ehsaas program main apka 12500 ka inam lga hai. Apna inam hasil karne k liye apna allied bank pin is number par send karein.,zenodo_21810885
"Easypaisa: Aap ne successfully 75,000 PKR transfer kar diye hain. Trx ID: 64843406.",0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 75000 pkr transfer kar diye hain. Trx id: 64843406.,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 2500 ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Jeeto pakistan main apka 2500 ka inam lga hai. Apna inam hasil karne k liye apna ubl pin is number par send karein.,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 92441144.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 5000 pkr transfer kar diye hain. Trx id: 92441144.,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 12500 PKR ka inaam nikla hai. Taseeq k liye 0362242481 par pin code dain.",1,roman_urdu,Phishing - Reward/Lottery Scam,"Moaziz sarif, apka bisp ki taraf se 12500 pkr ka inaam nikla hai. Taseeq k liye 0362242481 par pin code dein.",zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 12500 PKR ka inaam nikla hai. Taseeq k liye 0320855993 par details send krain.",1,roman_urdu,Phishing - Reward/Lottery Scam,"Moaziz sarif, apka jeeto pakistan ki taraf se 12500 pkr ka inaam nikla hai. Taseeq k liye 0320855993 par details send karein.",zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 20084028.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 5000 pkr transfer kar diye hain. Trx id: 20084028.,zenodo_21810885
Aap ka SadaPay debit card ATM par use hua hai. Amount: 350 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.,0,roman_urdu,Bank ATM Transaction Alert,Aap ka sadapay debit card atm par use hua hai. Amount: 350 pkr. Agar yeh aap ne nahi kiya toh helpline par call karein.,zenodo_21810885
Easypaisa: Aap ne successfully 1 Lakh PKR transfer kar diye hain. Trx ID: 79333380.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 100000 pkr transfer kar diye hain. Trx id: 79333380.,zenodo_21810885
Apka State Bank ka account system error ki waja se block ho gaya hai. Abhi sms karin 0331281484 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka state bank ka account system error ki waja se block ho gaya hai. Abhi sms karein 0331281484 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Mubarak ho! Benazir Income Support main apka 10000 ka inam lga ha. Apna inam hasil krne k lie apna HBL pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,Mubarak ho! Benazir income support main apka 10000 ka inam lga hai. Apna inam hasil karne k liye apna hbl pin is number par send karein.,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 10000 ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Jeeto pakistan main apka 10000 ka inam lga hai. Apna inam hasil karne k liye apna ubl pin is number par send karein.,zenodo_21810885
"Dear Consumer, apka is mahine ka WASA ka bill 1 Lakh PKR h. Due date guzarne se pehle ada kren.",0,roman_urdu,Utility Bill Payment Reminder,"Dear consumer, apka is mahine ka wasa ka bill 100000 pkr hai. Due date guzarne se pehle ada karein.",zenodo_21810885
Apka Easypaisa ka account suspicious activity ki waja se block ho gaya hai. Abhi details send krain 0379610008 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka easypaisa ka account suspicious activity ki waja se block ho gaya hai. Abhi details send karein 0379610008 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
"Your HBL OTP for online transaction is 12600159. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your hbl otp for online transaction is 12600159. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
"Aap k MCB account se 50,000 PKR ki deduction hui hai tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,Aap k mcb account se 50000 pkr ki deduction hui hai tax ki madd mein.,zenodo_21810885
"Aap ka Allied Bank debit card ATM par use hua hai. Amount: 75,000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.",0,roman_urdu,Bank ATM Transaction Alert,Aap ka allied bank debit card atm par use hua hai. Amount: 75000 pkr. Agar yeh aap ne nahi kiya toh helpline par call karein.,zenodo_21810885
Aap ka HBL debit card ATM par use hua ha. Amount: 350 PKR. Agar yeh aap ne nahi kiya toh helpline par call karin.,0,roman_urdu,Bank ATM Transaction Alert,Aap ka hbl debit card atm par use hua hai. Amount: 350 pkr. Agar yeh aap ne nahi kiya toh helpline par call karein.,zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 50,000 PKR ka inaam nikla hai. Taseeq k liye 0323410115 par rabta krein.",1,roman_urdu,Phishing - Reward/Lottery Scam,"Moaziz sarif, apka jeeto pakistan ki taraf se 50000 pkr ka inaam nikla hai. Taseeq k liye 0323410115 par rabta karein.",zenodo_21810885
"Aap k MCB acount se 50,000 PKR ki deduction hui ha tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,Aap k mcb account se 50000 pkr ki deduction hui hai tax ki madd mein.,zenodo_21810885
Easypaisa: Aap ne successfully 350 PKR transfer kar diye hain. Trx ID: 52989155.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 350 pkr transfer kar diye hain. Trx id: 52989155.,zenodo_21810885
Apka Meezan Bank ka acount verification na hone ki waja se block ho gaya h. Abhi rabta krein 0336910188 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka meezan bank ka account verification na hone ki waja se block ho gaya hai. Abhi rabta karein 0336910188 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Apka JazzCash account hack hone ka khatra hai. Apna password change krne k lie abhi is number par rabta krein.,1,roman_urdu,Phishing - Account Hack Warning,Apka jazzcash account hack hone ka khatra hai. Apna password change karne k liye abhi is number par rabta karein.,zenodo_21810885
FBR ki taraf se apka JazzCash acc freeze kr dia gya ha. Unblock krwane k lie abhi OTP call kren.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,Fbr ki taraf se apka jazzcash account freeze kar diya gaya hai. Unblock karwane k liye abhi otp call karein.,zenodo_21810885
FBR ki taraf se apka Easypaisa acc freeze kr dia gya h. Unblock krwane k lie abhi OTP call kren.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,Fbr ki taraf se apka easypaisa account freeze kar diya gaya hai. Unblock karwane k liye abhi otp call karein.,zenodo_21810885
Apka JazzCash ka account suspicious activity ki waja se block ho gaya hai. Abhi details send krain 0328020776 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka jazzcash ka account suspicious activity ki waja se block ho gaya hai. Abhi details send karein 0328020776 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 1 Lakh ka inam lga ha. Apna inam hasil krne k lie apna Allied Bank pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Jeeto pakistan main apka 100000 ka inam lga hai. Apna inam hasil karne k liye apna allied bank pin is number par send karein.,zenodo_21810885
"Your Meezan Bank OTP for online transaction is 90976056. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your meezan bank otp for online transaction is 90976056. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
Apka HBL ka acc suspicious activity ki waja se block ho gaya h. Abhi pin code dain 0328526695 par warna acc hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka hbl ka account suspicious activity ki waja se block ho gaya hai. Abhi pin code dein 0328526695 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 5000 ka inam lga ha. Apna inam hasil krne k lie apna SadaPay pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Jeeto pakistan main apka 5000 ka inam lga hai. Apna inam hasil karne k liye apna sadapay pin is number par send karein.,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 5000 PKR. Akhri tareekh se pehle PSCA app k zariye pay krn.,0,roman_urdu,Traffic Challan Notification,Traffic police: apki gari ka e- challan generate ho gaya hai. Amount 5000 pkr. Akhri tareekh se pehle psca app k zariye pay karein.,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 50,000 PKR ka inaam nikla ha. Taseeq k liye 0343755158 par rabta krein.",1,roman_urdu,Phishing - Reward/Lottery Scam,"Moaziz sarif, apka bisp ki taraf se 50000 pkr ka inaam nikla hai. Taseeq k liye 0343755158 par rabta karein.",zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 44563457.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 2500 pkr transfer kar diye hain. Trx id: 44563457.,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 5000 ka inam lga ha. Apna inam hasil krne k lie apna Meezan Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,Mubarak ho! Ehsaas program main apka 5000 ka inam lga hai. Apna inam hasil karne k liye apna meezan bank pin is number par send karein.,zenodo_21810885
"Dear Customer, Apke Meezan Bank account me 50,000 PKR deposit hue hain. Available Balance: 50,000 PKR.",0,roman_urdu,Bank Deposit Notification,"Dear customer, apke meezan bank account me 50000 pkr deposit hue hain. Available balance: 50000 pkr.",zenodo_21810885
"Aap k HBL acount se 50,000 PKR ki deduction hui ha tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,Aap k hbl account se 50000 pkr ki deduction hui hai tax ki madd mein.,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya h. Amount 1 Lakh PKR. Akhri tareekh se pehle PSCA app k zariye pay krn.,0,roman_urdu,Traffic Challan Notification,Traffic police: apki gari ka e- challan generate ho gaya hai. Amount 100000 pkr. Akhri tareekh se pehle psca app k zariye pay karein.,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Inaam ghar main apka 12500 ka inam lga hai. Apna inam hasil karne k liye apna mcb pin is number par send karein.,zenodo_21810885
Apka Meezan Bank ka acc KYC update na hone ki waja se block ho gaya h. Abhi pin code dain 0366211836 par warna acc hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka meezan bank ka account kyc update na hone ki waja se block ho gaya hai. Abhi pin code dein 0366211836 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Apka Easypaisa ka account KYC update na hone ki waja se block ho gaya hai. Abhi details send krain 0330025211 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka easypaisa ka account kyc update na hone ki waja se block ho gaya hai. Abhi details send karein 0330025211 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Apka State Bank ka account KYC update na hone ki waja se block ho gaya hai. Abhi call karein 0310151539 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka state bank ka account kyc update na hone ki waja se block ho gaya hai. Abhi call karein 0310151539 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,Mubarak ho! Ehsaas program main apka 12500 ka inam lga hai. Apna inam hasil karne k liye apna ubl pin is number par send karein.,zenodo_21810885
"Aap k HBL acount se 75,000 PKR ki deduction hui h tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,Aap k hbl account se 75000 pkr ki deduction hui hai tax ki madd mein.,zenodo_21810885
"Dear Customer, Apke MCB account me 12500 PKR deposit hue hain. Available Balance: 12500 PKR.",0,roman_urdu,Bank Deposit Notification,"Dear customer, apke mcb account me 12500 pkr deposit hue hain. Available balance: 12500 pkr.",zenodo_21810885
Mubarak ho! Benazir Income Support main apka 350 ka inam lga ha. Apna inam hasil krne k lie apna Meezan Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,Mubarak ho! Benazir income support main apka 350 ka inam lga hai. Apna inam hasil karne k liye apna meezan bank pin is number par send karein.,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya h. Amount 1 Lakh PKR. Akhri tareekh se pehle PSCA app k zariye pay kren.,0,roman_urdu,Traffic Challan Notification,Traffic police: apki gari ka e- challan generate ho gaya hai. Amount 100000 pkr. Akhri tareekh se pehle psca app k zariye pay karein.,zenodo_21810885
Salary of 10000 PKR has been credited to your NayaPay acount. Thank you.,0,roman_urdu,Salary Credit Notification,Salary of 10000 pkr has been credited to your nayapay account. Thank you.,zenodo_21810885
"Your Easypaisa OTP for online transaction is 65734968. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your easypaisa otp for online transaction is 65734968. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 24168869.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 12500 pkr transfer kar diye hain. Trx id: 24168869.,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 350 PKR. Akhri tareekh se pehle PSCA app k zariye pay karin.,0,roman_urdu,Traffic Challan Notification,Traffic police: apki gari ka e- challan generate ho gaya hai. Amount 350 pkr. Akhri tareekh se pehle psca app k zariye pay karein.,zenodo_21810885
FBR ki taraf se apka State Bank account freeze kr dia gya hai. Unblock krwane k lie abhi OTP OTP bataen.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,Fbr ki taraf se apka state bank account freeze kar diya gaya hai. Unblock karwane k liye abhi otp otp bataen.,zenodo_21810885
"Dear Consumer, apka is mahine ka LESCO ka bill 10000 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,"Dear consumer, apka is mahine ka lesco ka bill 10000 pkr hai. Due date guzarne se pehle ada karein.",zenodo_21810885
Mubarak ho! Benazir Income Support main apka 2500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,Mubarak ho! Benazir income support main apka 2500 ka inam lga hai. Apna inam hasil karne k liye apna mcb pin is number par send karein.,zenodo_21810885
"Your Meezan Bank OTP for online transaction is 56194000. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your meezan bank otp for online transaction is 56194000. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
FBR ki taraf se apka HBL acc freeze kr dia gya ha. Unblock krwane k lie abhi OTP sms karin.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,Fbr ki taraf se apka hbl account freeze kar diya gaya hai. Unblock karwane k liye abhi otp sms karein.,zenodo_21810885
"Dear Consumer, apka is mahine ka PTCL ka bill 2500 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,"Dear consumer, apka is mahine ka ptcl ka bill 2500 pkr hai. Due date guzarne se pehle ada karein.",zenodo_21810885
"Mubarak ho! BISP main apka 75,000 ka inam lga ha. Apna inam hasil krne k lie apna Meezan Bank pin is number par send krin.",1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Bisp main apka 75000 ka inam lga hai. Apna inam hasil karne k liye apna meezan bank pin is number par send karein.,zenodo_21810885
"Dear Consumer, apka is mahine ka IESCO ka bill 1 Lakh PKR h. Due date guzarne se pehle ada krn.",0,roman_urdu,Utility Bill Payment Reminder,"Dear consumer, apka is mahine ka iesco ka bill 100000 pkr hai. Due date guzarne se pehle ada karein.",zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 1 Lakh PKR ka inaam nikla h. Taseeq k liye 0386566571 par details send krain.",1,roman_urdu,Phishing - Reward/Lottery Scam,"Moaziz sarif, apka bisp ki taraf se 100000 pkr ka inaam nikla hai. Taseeq k liye 0386566571 par details send karein.",zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 10000 PKR ka inaam nikla ha. Taseeq k liye 0318245575 par call krn.",1,roman_urdu,Phishing - Government Scheme Scam,"Moaziz sarif, apka benazir income support ki taraf se 10000 pkr ka inaam nikla hai. Taseeq k liye 0318245575 par call karein.",zenodo_21810885
Easypaisa: Aap ne successfully 1 Lakh PKR transfer kar diye hain. Trx ID: 74684176.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 100000 pkr transfer kar diye hain. Trx id: 74684176.,zenodo_21810885
"Mubarak ho! Inaam Ghar main apka 75,000 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.",1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Inaam ghar main apka 75000 ka inam lga hai. Apna inam hasil karne k liye apna nayapay pin is number par send karein.,zenodo_21810885
"Bhai apke number par ghalti se mere 5000 rs aa gaye hain easypaisa me, please wapis bhej dain shukar guzar hunga.",1,roman_urdu,Phishing - Wrong Number Refund Scam,"Bhai apke number par ghalti se mere 5000 rs aa gaye hain easypaisa me, please wapis bhej dein shukar guzar hunga.",zenodo_21810885
Mubarak ho! Inaam Ghar main apka 1 Lakh ka inam lga ha. Apna inam hasil krne k lie apna HBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Inaam ghar main apka 100000 ka inam lga hai. Apna inam hasil karne k liye apna hbl pin is number par send karein.,zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 77657667.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 2500 pkr transfer kar diye hain. Trx id: 77657667.,zenodo_21810885
"Your NayaPay OTP for online transaction is 53319372. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your nayapay otp for online transaction is 53319372. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
"Your MCB OTP for online transaction is 44756397. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your mcb otp for online transaction is 44756397. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
"Easypaisa: Aap ne successfully 75,000 PKR transfer kar diye hain. Trx ID: 31752276.",0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 75000 pkr transfer kar diye hain. Trx id: 31752276.,zenodo_21810885
FBR ki taraf se apka MCB account freeze kr dia gya hai. Unblock krwane k lie abhi OTP sms karin.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,Fbr ki taraf se apka mcb account freeze kar diya gaya hai. Unblock karwane k liye abhi otp sms karein.,zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 5000 PKR ka inaam nikla hai. Taseeq k liye 0353081886 par call karein.",1,roman_urdu,Phishing - Government Scheme Scam,"Moaziz sarif, apka benazir income support ki taraf se 5000 pkr ka inaam nikla hai. Taseeq k liye 0353081886 par call karein.",zenodo_21810885
Apka JazzCash ka account suspicious activity ki waja se block ho gaya hai. Abhi OTP bataen 0313269989 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka jazzcash ka account suspicious activity ki waja se block ho gaya hai. Abhi otp bataen 0313269989 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Aap ka NayaPay debit card ATM par use hua hai. Amount: 5000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.,0,roman_urdu,Bank ATM Transaction Alert,Aap ka nayapay debit card atm par use hua hai. Amount: 5000 pkr. Agar yeh aap ne nahi kiya toh helpline par call karein.,zenodo_21810885
FBR ki taraf se apka SadaPay account freeze kr dia gya hai. Unblock krwane k lie abhi OTP OTP bataen.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,Fbr ki taraf se apka sadapay account freeze kar diya gaya hai. Unblock karwane k liye abhi otp otp bataen.,zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 80486996.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 12500 pkr transfer kar diye hain. Trx id: 80486996.,zenodo_21810885
"Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 75,000 PKR. Akhri tareekh se pehle PSCA app k zariye pay krn.",0,roman_urdu,Traffic Challan Notification,Traffic police: apki gari ka e- challan generate ho gaya hai. Amount 75000 pkr. Akhri tareekh se pehle psca app k zariye pay karein.,zenodo_21810885
IESCO Alert: Apka pichla bill clear ho chuka hai. Current balance is 0 PKR.,0,roman_urdu,Utility Bill Cleared Notification,Iesco alert: apka pichla bill clear ho chuka hai. Current balance is 0 pkr.,zenodo_21810885
"Your NayaPay OTP for online transaction is 66426679. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your nayapay otp for online transaction is 66426679. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
Apka Easypaisa ka acount tax jama na krwane ki waja se block ho gaya h. Abhi pin code dain 0371070089 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka easypaisa ka account tax jama na karwane ki waja se block ho gaya hai. Abhi pin code dein 0371070089 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Apka Allied Bank ka acount suspicious activity ki waja se block ho gaya ha. Abhi pin code dain 0362093015 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka allied bank ka account suspicious activity ki waja se block ho gaya hai. Abhi pin code dein 0362093015 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 79184644.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 2500 pkr transfer kar diye hain. Trx id: 79184644.,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 2500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Inaam ghar main apka 2500 ka inam lga hai. Apna inam hasil karne k liye apna mcb pin is number par send karein.,zenodo_21810885
