text,label,lang,scam_type,source
Apka MCB ka account system error ki waja se block ho gaya hai. Abhi pin code dain 0388847639 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Dear Consumer, apka is mahine ka IESCO ka bill 350 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
Aap k Easypaisa account se 5000 PKR ki deduction hui hai tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
"Dear Consumer, apka is mahine ka PTCL ka bill 1 Lakh PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
Apka NayaPay ka acount tax jama na krwane ki waja se block ho gaya ha. Abhi pin code dain 0362062776 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna Allied Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Easypaisa: Aap ne successfully 75,000 PKR transfer kar diye hain. Trx ID: 64843406.",0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 2500 ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 92441144.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 12500 PKR ka inaam nikla hai. Taseeq k liye 0362242481 par pin code dain.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 12500 PKR ka inaam nikla hai. Taseeq k liye 0320855993 par details send krain.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 20084028.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Aap ka SadaPay debit card ATM par use hua hai. Amount: 350 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.,0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
Easypaisa: Aap ne successfully 1 Lakh PKR transfer kar diye hain. Trx ID: 79333380.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Apka State Bank ka account system error ki waja se block ho gaya hai. Abhi sms karin 0331281484 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Mubarak ho! Benazir Income Support main apka 10000 ka inam lga ha. Apna inam hasil krne k lie apna HBL pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 10000 ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Dear Consumer, apka is mahine ka WASA ka bill 1 Lakh PKR h. Due date guzarne se pehle ada kren.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
Apka Easypaisa ka account suspicious activity ki waja se block ho gaya hai. Abhi details send krain 0379610008 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
"Your HBL OTP for online transaction is 12600159. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Aap k MCB account se 50,000 PKR ki deduction hui hai tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
"Aap ka Allied Bank debit card ATM par use hua hai. Amount: 75,000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.",0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
Aap ka HBL debit card ATM par use hua ha. Amount: 350 PKR. Agar yeh aap ne nahi kiya toh helpline par call karin.,0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 50,000 PKR ka inaam nikla hai. Taseeq k liye 0323410115 par rabta krein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Aap k MCB acount se 50,000 PKR ki deduction hui ha tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
Easypaisa: Aap ne successfully 350 PKR transfer kar diye hain. Trx ID: 52989155.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Apka Meezan Bank ka acount verification na hone ki waja se block ho gaya h. Abhi rabta krein 0336910188 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Apka JazzCash account hack hone ka khatra hai. Apna password change krne k lie abhi is number par rabta krein.,1,roman_urdu,Phishing - Account Hack Warning,zenodo_21810885
FBR ki taraf se apka JazzCash acc freeze kr dia gya ha. Unblock krwane k lie abhi OTP call kren.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
FBR ki taraf se apka Easypaisa acc freeze kr dia gya h. Unblock krwane k lie abhi OTP call kren.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
Apka JazzCash ka account suspicious activity ki waja se block ho gaya hai. Abhi details send krain 0328020776 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 1 Lakh ka inam lga ha. Apna inam hasil krne k lie apna Allied Bank pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Your Meezan Bank OTP for online transaction is 90976056. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Apka HBL ka acc suspicious activity ki waja se block ho gaya h. Abhi pin code dain 0328526695 par warna acc hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 5000 ka inam lga ha. Apna inam hasil krne k lie apna SadaPay pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 5000 PKR. Akhri tareekh se pehle PSCA app k zariye pay krn.,0,roman_urdu,Traffic Challan Notification,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 50,000 PKR ka inaam nikla ha. Taseeq k liye 0343755158 par rabta krein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 44563457.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 5000 ka inam lga ha. Apna inam hasil krne k lie apna Meezan Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Dear Customer, Apke Meezan Bank account me 50,000 PKR deposit hue hain. Available Balance: 50,000 PKR.",0,roman_urdu,Bank Deposit Notification,zenodo_21810885
"Aap k HBL acount se 50,000 PKR ki deduction hui ha tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya h. Amount 1 Lakh PKR. Akhri tareekh se pehle PSCA app k zariye pay krn.,0,roman_urdu,Traffic Challan Notification,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Apka Meezan Bank ka acc KYC update na hone ki waja se block ho gaya h. Abhi pin code dain 0366211836 par warna acc hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Apka Easypaisa ka account KYC update na hone ki waja se block ho gaya hai. Abhi details send krain 0330025211 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Apka State Bank ka account KYC update na hone ki waja se block ho gaya hai. Abhi call karein 0310151539 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Aap k HBL acount se 75,000 PKR ki deduction hui h tax ki madd mein.",0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
"Dear Customer, Apke MCB account me 12500 PKR deposit hue hain. Available Balance: 12500 PKR.",0,roman_urdu,Bank Deposit Notification,zenodo_21810885
Mubarak ho! Benazir Income Support main apka 350 ka inam lga ha. Apna inam hasil krne k lie apna Meezan Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya h. Amount 1 Lakh PKR. Akhri tareekh se pehle PSCA app k zariye pay kren.,0,roman_urdu,Traffic Challan Notification,zenodo_21810885
Salary of 10000 PKR has been credited to your NayaPay acount. Thank you.,0,roman_urdu,Salary Credit Notification,zenodo_21810885
"Your Easypaisa OTP for online transaction is 65734968. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 24168869.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 350 PKR. Akhri tareekh se pehle PSCA app k zariye pay karin.,0,roman_urdu,Traffic Challan Notification,zenodo_21810885
FBR ki taraf se apka State Bank account freeze kr dia gya hai. Unblock krwane k lie abhi OTP OTP bataen.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
"Dear Consumer, apka is mahine ka LESCO ka bill 10000 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
Mubarak ho! Benazir Income Support main apka 2500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Your Meezan Bank OTP for online transaction is 56194000. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
FBR ki taraf se apka HBL acc freeze kr dia gya ha. Unblock krwane k lie abhi OTP sms karin.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
"Dear Consumer, apka is mahine ka PTCL ka bill 2500 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
"Mubarak ho! BISP main apka 75,000 ka inam lga ha. Apna inam hasil krne k lie apna Meezan Bank pin is number par send krin.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Dear Consumer, apka is mahine ka IESCO ka bill 1 Lakh PKR h. Due date guzarne se pehle ada krn.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 1 Lakh PKR ka inaam nikla h. Taseeq k liye 0386566571 par details send krain.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 10000 PKR ka inaam nikla ha. Taseeq k liye 0318245575 par call krn.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Easypaisa: Aap ne successfully 1 Lakh PKR transfer kar diye hain. Trx ID: 74684176.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Mubarak ho! Inaam Ghar main apka 75,000 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Bhai apke number par ghalti se mere 5000 rs aa gaye hain easypaisa me, please wapis bhej dain shukar guzar hunga.",1,roman_urdu,Phishing - Wrong Number Refund Scam,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 1 Lakh ka inam lga ha. Apna inam hasil krne k lie apna HBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 77657667.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Your NayaPay OTP for online transaction is 53319372. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Your MCB OTP for online transaction is 44756397. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Easypaisa: Aap ne successfully 75,000 PKR transfer kar diye hain. Trx ID: 31752276.",0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
FBR ki taraf se apka MCB account freeze kr dia gya hai. Unblock krwane k lie abhi OTP sms karin.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 5000 PKR ka inaam nikla hai. Taseeq k liye 0353081886 par call karein.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Apka JazzCash ka account suspicious activity ki waja se block ho gaya hai. Abhi OTP bataen 0313269989 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Aap ka NayaPay debit card ATM par use hua hai. Amount: 5000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.,0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
FBR ki taraf se apka SadaPay account freeze kr dia gya hai. Unblock krwane k lie abhi OTP OTP bataen.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 80486996.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 75,000 PKR. Akhri tareekh se pehle PSCA app k zariye pay krn.",0,roman_urdu,Traffic Challan Notification,zenodo_21810885
IESCO Alert: Apka pichla bill clear ho chuka hai. Current balance is 0 PKR.,0,roman_urdu,Utility Bill Cleared Notification,zenodo_21810885
"Your NayaPay OTP for online transaction is 66426679. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Apka Easypaisa ka acount tax jama na krwane ki waja se block ho gaya h. Abhi pin code dain 0371070089 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Apka Allied Bank ka acount suspicious activity ki waja se block ho gaya ha. Abhi pin code dain 0362093015 par warna acount hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 79184644.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 2500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Aap k MCB account se 12500 PKR ki deduction hui hai tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 98104896.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
FBR ki taraf se apka Meezan Bank acc freeze kr dia gya ha. Unblock krwane k lie abhi OTP call kren.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 1 Lakh PKR ka inaam nikla hai. Taseeq k liye 0316513314 par sms karin.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Your UBL OTP for online transaction is 30715676. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Your Easypaisa OTP for online transaction is 15127502. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Moaziz sarif, apka BISP ki taraf se 2500 PKR ka inaam nikla hai. Taseeq k liye 0370292625 par call karein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Dear Consumer, apka is mahine ka PTCL ka bill 5000 PKR h. Due date guzarne se pehle ada krn.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
Mubarak ho! Jeeto Pakistan main apka 5000 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 5000 PKR ka inaam nikla hai. Taseeq k liye 0343252849 par call karein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Apka MCB ka account verification na hone ki waja se block ho gaya hai. Abhi details send krain 0386093497 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Aap k Easypaisa acc se 5000 PKR ki deduction hui ha tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
"Mubarak ho! Ehsaas Program main apka 75,000 ka inam lga ha. Apna inam hasil krne k lie apna Allied Bank pin is number par send krin.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Moaziz sarif, apka Ehsaas Program ki taraf se 5000 PKR ka inaam nikla hai. Taseeq k liye 0381137674 par sms karin.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Moaziz sarif, apka Ehsaas Program ki taraf se 2500 PKR ka inaam nikla hai. Taseeq k liye 0389910179 par OTP bataen.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Your NayaPay OTP for online transaction is 99453515. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya ha. Amount 1 Lakh PKR. Akhri tareekh se pehle PSCA app k zariye pay karin.,0,roman_urdu,Traffic Challan Notification,zenodo_21810885
Apka MCB ka acc KYC update na hone ki waja se block ho gaya ha. Abhi OTP bataen 0392494467 par warna acc hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Apka MCB ka account suspicious activity ki waja se block ho gaya hai. Abhi rabta krein 0345380989 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
"Your HBL OTP for online transaction is 96268683. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 33262541.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Aap ka NayaPay debit card ATM par use hua h. Amount: 12500 PKR. Agar yeh aap ne nahi kiya toh helpline par call krn.,0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
Easypaisa: Aap ne successfully 10000 PKR transfer kar diye hain. Trx ID: 35478986.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Aap k UBL account se 350 PKR ki deduction hui hai tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
FBR ki taraf se apka UBL account freeze kr dia gya hai. Unblock krwane k lie abhi OTP OTP bataen.,1,roman_urdu,Phishing - Account Freeze (FBR) Threat,zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 10000 PKR ka inaam nikla hai. Taseeq k liye 0320253105 par OTP bataen.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Apka UBL ka acc tax jama na krwane ki waja se block ho gaya ha. Abhi details send krain 0354989757 par warna acc hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 41284269.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Moaziz sarif, apka Inaam Ghar ki taraf se 2500 PKR ka inaam nikla hai. Taseeq k liye 0370477172 par call karein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Your HBL OTP for online transaction is 45704619. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Your HBL OTP for online transaction is 30507391. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 75,000 PKR ka inaam nikla ha. Taseeq k liye 0356258133 par rabta krein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Salary of 2500 PKR has been credited to your UBL account. Thank you.,0,roman_urdu,Salary Credit Notification,zenodo_21810885
Apka MCB ka account suspicious activity ki waja se block ho gaya hai. Abhi details send krain 0387473941 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Salary of 350 PKR has been credited to your SadaPay acount. Thank you.,0,roman_urdu,Salary Credit Notification,zenodo_21810885
Traffic Police: Apki gari ka E-Challan generate ho gaya hai. Amount 1 Lakh PKR. Akhri tareekh se pehle PSCA app k zariye pay karein.,0,roman_urdu,Traffic Challan Notification,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 1 Lakh ka inam lga ha. Apna inam hasil krne k lie apna UBL pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Aap k Meezan Bank acc se 1 Lakh PKR ki deduction hui ha tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
"Moaziz sarif, apka Ehsaas Program ki taraf se 75,000 PKR ka inaam nikla h. Taseeq k liye 0326846996 par sms karin.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Apka Allied Bank ka account verification na hone ki waja se block ho gaya hai. Abhi OTP bataen 0347569364 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
"Bh apke number par ghalti se mere 350 rs aa gaye hn easypaisa me, please wapis bhej dain shukar guzar hunga.",1,roman_urdu,Phishing - Wrong Number Refund Scam,zenodo_21810885
Aap ka SadaPay debit card ATM par use hua hai. Amount: 2500 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.,0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
"Dear Customer, Apke Allied Bank acc me 5000 PKR deposit hue hn. Available Balance: 5000 PKR.",0,roman_urdu,Bank Deposit Notification,zenodo_21810885
Easypaisa: Aap ne successfully 350 PKR transfer kar diye hain. Trx ID: 35047253.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Your UBL OTP for online transaction is 88834620. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Salary of 5000 PKR has been credited to your UBL acount. Thank you.,0,roman_urdu,Salary Credit Notification,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 1 Lakh ka inam lga ha. Apna inam hasil krne k lie apna Easypaisa pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Aap k Easypaisa acc se 2500 PKR ki deduction hui ha tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
Easypaisa: Aap ne successfully 2500 PKR transfer kar diye hain. Trx ID: 46243476.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Apka UBL ka account suspicious activity ki waja se block ho gaya hai. Abhi rabta krein 0367352191 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
Easypaisa: Aap ne successfully 350 PKR transfer kar diye hain. Trx ID: 49962534.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Mubarak ho! Ehsaas Program main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna MCB pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Moaziz sarif, apka Ehsaas Program ki taraf se 1 Lakh PKR ka inaam nikla hai. Taseeq k liye 0365684090 par details send krain.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 12500 PKR ka inaam nikla hai. Taseeq k liye 0392373608 par sms karin.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
"Moaziz sarif, apka Jeeto Pakistan ki taraf se 1 Lakh PKR ka inaam nikla h. Taseeq k liye 0357935065 par pin code dain.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Aap k JazzCash account se 350 PKR ki deduction hui hai tax ki madd mein.,0,roman_urdu,Bank Tax Deduction Notification,zenodo_21810885
"Moaziz sarif, apka Benazir Income Support ki taraf se 75,000 PKR ka inaam nikla hai. Taseeq k liye 0329855365 par call karein.",1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
Salary of 5000 PKR has been credited to your NayaPay acount. Thank you.,0,roman_urdu,Salary Credit Notification,zenodo_21810885
Salary of 2500 PKR has been credited to your Meezan Bank acc. Thank you.,0,roman_urdu,Salary Credit Notification,zenodo_21810885
"Aap ka SadaPay debit card ATM par use hua hai. Amount: 75,000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.",0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
Mubarak ho! Benazir Income Support main apka 350 ka inam lga ha. Apna inam hasil krne k lie apna State Bank pin is number par send krin.,1,roman_urdu,Phishing - Government Scheme Scam,zenodo_21810885
